Taxa,ID,Meds,Magnitude,Cohort,Group,P value,Influence
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis,B. uniformis,Vancomycin,-2.698941412,HSCT,Single drug analysis,0.000761367,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis,P. distasonis,Vancomycin,-0.716626436,HSCT,Single drug analysis,0.022618988,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii,A. finegoldii,Vancomycin,2.952418059,HSCT,Single drug analysis,1.41E-05,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__,o__Lactobacillales,Vancomycin,-8.851169105,HSCT,Single drug analysis,0.000359866,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.__,g__Lactobacillus1,Vancomycin,2.901893065,HSCT,Single drug analysis,0.039469697,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii,L. delbrueckii,Vancomycin,-0.053137915,HSCT,Single drug analysis,0.046559386,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__zeae,L. zeae,Vancomycin,3.153389257,HSCT,Single drug analysis,0.009232769,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__gnavus,R. gnavus,Vancomycin,-1.947728651,HSCT,Single drug analysis,0.02041345,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.__,g__Clostridium,Vancomycin,-0.450088502,HSCT,Single drug analysis,0.039008659,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__aldenense,C. aldenense,Vancomycin,-0.147200425,HSCT,Single drug analysis,0.001015423,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__symbiosum,C. symbiosum,Vancomycin,-0.207956319,HSCT,Single drug analysis,0.013234082,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__,g__Dorea,Vancomycin,-0.275457273,HSCT,Single drug analysis,0.011610403,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.__,g__Roseburia1,Vancomycin,0.433446549,HSCT,Single drug analysis,0.039465568,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus.s__pullicaecorum,B. pullicaecorum,Vancomycin,0.399250744,HSCT,Single drug analysis,0.032644502,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__,g__Oscillospira,Vancomycin,-0.730007237,HSCT,Single drug analysis,0.001187537,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__,g__Ruminococcus1,Vancomycin,-0.60311891,HSCT,Single drug analysis,0.020816029,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__,g__Dialister,Vancomycin,-0.090422128,HSCT,Single drug analysis,0.042105947,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii,A. finegoldii,Tobramycin,43.27802138,HSCT,Single drug analysis,1.69E-06,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__onderdonkii,A. onderdonkii,Tobramycin,-31.05645701,HSCT,Single drug analysis,0.000167286,Inhibition
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,R. mucilaginosa,Busulfan,0.439853719,HSCT,Multiple drug analysis,4.35E-19,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__,g__Staphylococcus,Busulfan,-1.463239721,HSCT,Multiple drug analysis,0.02238928,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__,g__Turicibacter,Busulfan,0.328752991,HSCT,Multiple drug analysis,3.72E-10,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__citroniae,C. citroniae,Busulfan,-0.038718319,HSCT,Multiple drug analysis,0.025961298,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula,V. parvula,Busulfan,3.57102484,HSCT,Multiple drug analysis,8.66E-05,Promotion
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella.s__,g__Sutterella,Busulfan,-2.02731605,HSCT,Multiple drug analysis,0.011323754,Inhibition
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__,f__Enterobacteriaceae,Busulfan,13.70696843,HSCT,Multiple drug analysis,0.045372473,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__,g__Bacteroides2,Cyclophosphamide,26.35410556,HSCT,Multiple drug analysis,0.006326156,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis,P. distasonis,Cyclophosphamide,1.525897877,HSCT,Multiple drug analysis,0.003931985,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__.s__,f__Rikenellaceae,Cyclophosphamide,0.577440898,HSCT,Multiple drug analysis,0.009301239,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii,A. finegoldii,Cyclophosphamide,20.05754116,HSCT,Multiple drug analysis,0.016616801,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__,g__Staphylococcus,Cyclophosphamide,-3.194761693,HSCT,Multiple drug analysis,0.015962961,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__,f__Mogibacteriaceae,Cyclophosphamide,0.348897701,HSCT,Multiple drug analysis,0.031293286,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum,C. paraputrificum,Cyclophosphamide,1.281041335,HSCT,Multiple drug analysis,0.025991278,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,Cyclophosphamide,1.561573465,HSCT,Multiple drug analysis,9.38E-05,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__,g__Blautia,Cyclophosphamide,24.29784161,HSCT,Multiple drug analysis,0.011963189,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__citroniae,C. citroniae,Cyclophosphamide,-0.075682699,HSCT,Multiple drug analysis,0.035852691,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__,f__Ruminococcaceae2,Cyclophosphamide,11.99487574,HSCT,Multiple drug analysis,0.034016975,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,R. mucilaginosa,Fludarabine,0.409071082,HSCT,Multiple drug analysis,2.27E-17,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__,g__Bacteroides2,Fludarabine,-11.00278727,HSCT,Multiple drug analysis,0.020260296,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii,A. finegoldii,Fludarabine,-13.77300887,HSCT,Multiple drug analysis,0.000923992,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__,g__Turicibacter,Fludarabine,0.331955455,HSCT,Multiple drug analysis,6.85E-10,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__,o__Clostridiales2,Fludarabine,-3.349824013,HSCT,Multiple drug analysis,0.020373852,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum,C. paraputrificum,Fludarabine,-0.642270927,HSCT,Multiple drug analysis,0.02452998,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,Fludarabine,-0.594788463,HSCT,Multiple drug analysis,0.003494481,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula,V. parvula,Fludarabine,3.479994197,HSCT,Multiple drug analysis,0.000278895,Promotion
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium..s__dolichum,E. dolichum,Fludarabine,18.39805859,HSCT,Multiple drug analysis,0.017950555,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,R. mucilaginosa,VP16,-0.492530356,HSCT,Multiple drug analysis,1.16E-21,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii,A. finegoldii,VP16,9.249096615,HSCT,Multiple drug analysis,0.032680935,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__,g__Turicibacter,VP16,-0.37973327,HSCT,Multiple drug analysis,5.89E-12,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,VP16,0.459912842,HSCT,Multiple drug analysis,0.029095602,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula,V. parvula,VP16,-4.035448485,HSCT,Multiple drug analysis,3.07E-05,Inhibition
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__,f__Enterobacteriaceae,VP16,-15.36761561,HSCT,Multiple drug analysis,0.035598527,Inhibition
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,R. mucilaginosa,Thiotepa,0.154204979,HSCT,Multiple drug analysis,3.30E-06,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__,g__Bifidobacterium1,Thiotepa,6.529914229,HSCT,Multiple drug analysis,0.02833841,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis,P. distasonis,Thiotepa,-0.429793869,HSCT,Multiple drug analysis,0.005121813,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__,o__Lactobacillales,Thiotepa,-13.82370734,HSCT,Multiple drug analysis,0.04689339,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__,g__Lactococcus,Thiotepa,18.27436461,HSCT,Multiple drug analysis,3.22E-05,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__,g__Turicibacter,Thiotepa,0.121135149,HSCT,Multiple drug analysis,0.000265497,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis.s__,g__Anaerofustis,Thiotepa,0.017443887,HSCT,Multiple drug analysis,0.005066045,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,Thiotepa,-0.238796283,HSCT,Multiple drug analysis,0.044093038,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques,R. torques,Thiotepa,-0.751585705,HSCT,Multiple drug analysis,0.00500371,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__,g__Blautia,Thiotepa,-8.173900992,HSCT,Multiple drug analysis,0.003382114,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__obeum,B. obeum,Thiotepa,-1.485107329,HSCT,Multiple drug analysis,0.003588234,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__clostridioforme,C. clostridioforme,Thiotepa,-0.781391093,HSCT,Multiple drug analysis,0.004980891,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__,g__Coprococcus,Thiotepa,5.859911211,HSCT,Multiple drug analysis,0.000160371,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__.s__,f__Peptostreptococcaceae1,Thiotepa,0.343350281,HSCT,Multiple drug analysis,0.026632019,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__.s__,f__Ruminococcaceae1,Thiotepa,-1.960377167,HSCT,Multiple drug analysis,0.00440084,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula,V. parvula,Thiotepa,1.446050858,HSCT,Multiple drug analysis,0.009327894,Promotion
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella.s__,g__Sutterella,Thiotepa,-0.976994323,HSCT,Multiple drug analysis,0.043118167,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii,A. finegoldii,Methotrexate,12.23746923,HSCT,Multiple drug analysis,0.0084882,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,Methotrexate,0.663684685,HSCT,Multiple drug analysis,0.00325964,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus.s__pullicaecorum,B. pullicaecorum,Methotrexate,2.49584701,HSCT,Multiple drug analysis,0.046515594,Promotion
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__,g__Campylobacter,Methotrexate,-2.296295497,HSCT,Multiple drug analysis,0.006904034,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__,g__Staphylococcus,Trimethoprim.sulfamethoxazole,-0.521844476,HSCT,Multiple drug analysis,0.024814072,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__,o__Lactobacillales,Trimethoprim.sulfamethoxazole,-10.99861493,HSCT,Multiple drug analysis,0.008444795,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__,g__Enterococcus2,Trimethoprim.sulfamethoxazole,-10.20353831,HSCT,Multiple drug analysis,0.001496963,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii,L. delbrueckii,Trimethoprim.sulfamethoxazole,0.123936197,HSCT,Multiple drug analysis,0.010678827,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__,g__Streptococcus1,Trimethoprim.sulfamethoxazole,7.824118004,HSCT,Multiple drug analysis,0.019345071,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__,o__Clostridiales2,Trimethoprim.sulfamethoxazole,1.076613324,HSCT,Multiple drug analysis,0.033835912,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Finegoldia.s__,g__Finegoldia,Trimethoprim.sulfamethoxazole,0.152482465,HSCT,Multiple drug analysis,0.038552197,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis.s__,g__Anaerofustis,Trimethoprim.sulfamethoxazole,0.008486472,HSCT,Multiple drug analysis,0.02483941,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__gnavus,R. gnavus,Trimethoprim.sulfamethoxazole,4.179670014,HSCT,Multiple drug analysis,0.016168113,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__,g__Coprococcus,Trimethoprim.sulfamethoxazole,3.777535062,HSCT,Multiple drug analysis,5.22E-05,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__.s__,f__Peptostreptococcaceae1,Trimethoprim.sulfamethoxazole,0.270271529,HSCT,Multiple drug analysis,0.003612266,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__,g__Oscillospira,Trimethoprim.sulfamethoxazole,1.257581154,HSCT,Multiple drug analysis,0.003312235,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__bromii,R. bromii,Trimethoprim.sulfamethoxazole,0.73464866,HSCT,Multiple drug analysis,0.014378246,Promotion
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella.s__,g__Sutterella,Trimethoprim.sulfamethoxazole,0.621512318,HSCT,Multiple drug analysis,0.033017236,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,R. mucilaginosa,Phenoxymethylpenicillin,0.20321746,HSCT,Multiple drug analysis,2.56E-06,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__,g__Parabacteroides,Phenoxymethylpenicillin,-2.657011236,HSCT,Multiple drug analysis,0.000227163,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__,g__Enterococcus2,Phenoxymethylpenicillin,15.03615871,HSCT,Multiple drug analysis,0.032182061,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.__.__,f__Peptostreptococcaceae2,Phenoxymethylpenicillin,11.52199262,HSCT,Multiple drug analysis,0.001486754,Promotion
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella.s__,g__Sutterella,Phenoxymethylpenicillin,-1.498527369,HSCT,Multiple drug analysis,0.017028311,Inhibition
k__Bacteria.__.__.__.__.__.__,k__Bacteria,Amoxicillin,0.548792102,HSCT,Multiple drug analysis,0.023713717,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,R. mucilaginosa,Amoxicillin,-0.087550208,HSCT,Multiple drug analysis,0.034000672,Inhibition
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__,g__Scardovia,Amoxicillin,-0.085878634,HSCT,Multiple drug analysis,0.004441099,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__,g__Bacteroides1,Amoxicillin,0.702709375,HSCT,Multiple drug analysis,1.62E-05,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus,B. ovatus,Amoxicillin,-2.459963808,HSCT,Multiple drug analysis,0.024079877,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__,g__Parabacteroides,Amoxicillin,0.908697019,HSCT,Multiple drug analysis,0.041756256,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis,P. distasonis,Amoxicillin,0.808347977,HSCT,Multiple drug analysis,0.037780895,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__.s__,f__Rikenellaceae,Amoxicillin,0.14345629,HSCT,Multiple drug analysis,6.34E-06,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__,o__Lactobacillales,Amoxicillin,-6.271357121,HSCT,Multiple drug analysis,0.041579628,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__,g__Enterococcus1,Amoxicillin,-5.943558219,HSCT,Multiple drug analysis,0.038242831,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__,o__Clostridiales1,Amoxicillin,1.848021846,HSCT,Multiple drug analysis,0.00386855,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__,f__Mogibacteriaceae,Amoxicillin,0.111417118,HSCT,Multiple drug analysis,3.35E-05,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__.s__,f__Christensenellaceae,Amoxicillin,0.279913658,HSCT,Multiple drug analysis,2.91E-08,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum,C. paraputrificum,Amoxicillin,-0.222407621,HSCT,Multiple drug analysis,0.026631847,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__,f__Lachnospiraceae2,Amoxicillin,1.320585751,HSCT,Multiple drug analysis,0.001718081,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,Amoxicillin,0.590952622,HSCT,Multiple drug analysis,1.42E-10,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__lavalense,C. lavalense,Amoxicillin,0.07871331,HSCT,Multiple drug analysis,6.16E-07,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__,g__Coprococcus,Amoxicillin,1.25033975,HSCT,Multiple drug analysis,0.042351306,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.__,g__Roseburia1,Amoxicillin,0.632501167,HSCT,Multiple drug analysis,0.014480125,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__,g__Roseburia2,Amoxicillin,-1.252671323,HSCT,Multiple drug analysis,0.042241107,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__.s__,f__Peptostreptococcaceae1,Amoxicillin,-0.461449594,HSCT,Multiple drug analysis,0.026917839,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Clostridium.s__bartlettii,C. bartlettii,Amoxicillin,-1.983576558,HSCT,Multiple drug analysis,0.00095467,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__.s__,f__Ruminococcaceae1,Amoxicillin,0.725492521,HSCT,Multiple drug analysis,0.007303667,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__,g__Anaerotruncus,Amoxicillin,0.03577091,HSCT,Multiple drug analysis,0.001240012,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Clostridium.s__methylpentosum,C. methylpentosum,Amoxicillin,0.106360076,HSCT,Multiple drug analysis,5.71E-11,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__,g__Ruminococcus1,Amoxicillin,0.941584973,HSCT,Multiple drug analysis,0.003051891,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__bromii,R. bromii,Amoxicillin,-1.433008507,HSCT,Multiple drug analysis,0.007693547,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__,g__Phascolarctobacterium,Amoxicillin,-0.560729588,HSCT,Multiple drug analysis,0.000568994,Inhibition
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__,g__Fusobacterium,Amoxicillin,-0.188038659,HSCT,Multiple drug analysis,0.04888404,Inhibition
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila,A. muciniphila,Amoxicillin,4.986430068,HSCT,Multiple drug analysis,0.000445849,Promotion
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium.s__,g__Atopobium,Ceftazidime,0.015088837,HSCT,Multiple drug analysis,0.044531723,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis,B. uniformis,Ceftazidime,-1.867520522,HSCT,Multiple drug analysis,0.038927142,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__,g__Parabacteroides,Ceftazidime,-1.372958701,HSCT,Multiple drug analysis,0.000627585,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis,P. distasonis,Ceftazidime,-0.889445399,HSCT,Multiple drug analysis,0.011481387,Inhibition
